dataset,record_id,source_row_number,code,severity,field,message,raw_value,affects_metrics,recommended_action
Deals,IMPORT-DEAL-12F4268F2B72,19,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_129',COMPANY129,False,
Deals,IMPORT-DEAL-12F4268F2B72,19,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-12F4268F2B72 due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-7ECCA9239446,20,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_129',COMPANY129,False,
Deals,IMPORT-DEAL-7ECCA9239446,20,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-7ECCA9239446 due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-ECA5E5714238,21,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_107',COMPANY107,False,
Deals,IMPORT-DEAL-ECA5E5714238,21,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-ECA5E5714238 due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-465A5EA99306,22,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_103',COMPANY103,False,
Deals,IMPORT-DEAL-465A5EA99306,22,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-465A5EA99306 due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-B19C9ABDE56C,23,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_077',COMPANY077,False,
Deals,IMPORT-DEAL-B19C9ABDE56C,23,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-B19C9ABDE56C due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-891C083BC89F,24,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_026',COMPANY026,False,
Deals,IMPORT-DEAL-891C083BC89F,24,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-891C083BC89F due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-0A5D45D96A92,25,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_193',COMPANY193,False,
Deals,IMPORT-DEAL-0A5D45D96A92,25,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-0A5D45D96A92 due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-510BD51EEFEE,26,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_111',COMPANY111,False,
Deals,IMPORT-DEAL-510BD51EEFEE,26,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-510BD51EEFEE due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-56510CDF645E,27,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_169',COMPANY169,False,
Deals,IMPORT-DEAL-56510CDF645E,27,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-56510CDF645E due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-070D5DE06006,28,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_183',COMPANY183,False,
Deals,IMPORT-DEAL-070D5DE06006,28,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-070D5DE06006 due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-D68409D65BCD,29,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_009',COMPANY009,False,
Deals,IMPORT-DEAL-D68409D65BCD,29,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-D68409D65BCD due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-9A6090C95E1D,30,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_052',COMPANY052,False,
Deals,IMPORT-DEAL-9A6090C95E1D,30,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-9A6090C95E1D due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-F1515FCC887E,31,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_108',COMPANY108,False,
Deals,IMPORT-DEAL-F1515FCC887E,31,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-F1515FCC887E due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-50DB8B32AC74,32,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_021',COMPANY021,False,
Deals,IMPORT-DEAL-50DB8B32AC74,32,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-50DB8B32AC74 due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-E719E013F6C1,33,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_067',COMPANY067,False,
Deals,IMPORT-DEAL-E719E013F6C1,33,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-E719E013F6C1 due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-E3F747CCFAD1,34,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_043',COMPANY043,False,
Deals,IMPORT-DEAL-E3F747CCFAD1,34,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-E3F747CCFAD1 due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-0E77C513608F,35,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_093',COMPANY093,False,
Deals,IMPORT-DEAL-0E77C513608F,35,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-0E77C513608F due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-B73D7A759510,36,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_067',COMPANY067,False,
Deals,IMPORT-DEAL-B73D7A759510,36,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-B73D7A759510 due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-A77A0B53E26C,37,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_110',COMPANY110,False,
Deals,IMPORT-DEAL-A77A0B53E26C,37,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-A77A0B53E26C due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-C9C5F1B8CC74,38,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_048',COMPANY048,False,
Deals,IMPORT-DEAL-C9C5F1B8CC74,38,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-C9C5F1B8CC74 due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-AF5AD7F3C16D,39,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_124',COMPANY124,False,
Deals,IMPORT-DEAL-AF5AD7F3C16D,39,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-AF5AD7F3C16D due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-20338B8FD65A,40,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_087',COMPANY087,False,
Deals,IMPORT-DEAL-20338B8FD65A,40,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-20338B8FD65A due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-E3A042907F13,41,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_095',COMPANY095,False,
Deals,IMPORT-DEAL-E3A042907F13,41,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-E3A042907F13 due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-2D91903C29D8,42,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_007',COMPANY007,False,
Deals,IMPORT-DEAL-2D91903C29D8,42,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-2D91903C29D8 due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-773C23C2D5FD,43,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_067',COMPANY067,False,
Deals,IMPORT-DEAL-773C23C2D5FD,43,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-773C23C2D5FD due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-AC8464462E35,44,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_068',COMPANY068,False,
Deals,IMPORT-DEAL-AC8464462E35,44,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-AC8464462E35 due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-0744F553DA82,45,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_050',COMPANY050,False,
Deals,IMPORT-DEAL-0744F553DA82,45,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-0744F553DA82 due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-4ABC1FFA02C2,46,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_051',COMPANY051,False,
Deals,IMPORT-DEAL-4ABC1FFA02C2,46,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-4ABC1FFA02C2 due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-7B324DDA7234,47,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_161',COMPANY161,False,
Deals,IMPORT-DEAL-7B324DDA7234,47,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-7B324DDA7234 due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-A85894F8FAC1,48,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_186',COMPANY186,False,
Deals,IMPORT-DEAL-A85894F8FAC1,48,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-A85894F8FAC1 due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-9A465D23F196,49,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_038',COMPANY038,False,
Deals,IMPORT-DEAL-9A465D23F196,49,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-9A465D23F196 due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-9A465D23F196,49,missing_deal_value,info,deal_value,Deal value is missing,nan,True,Provide estimated deal value
Deals,IMPORT-DEAL-9A465D23F196,49,missing_probability,info,probability,Closure probability is missing (not imputed),nan,True,Provide win probability
Deals,IMPORT-DEAL-9A465D23F196,49,missing_exact_close_date,info,expected_close_date,Tentative close date is missing,nan,False,
Deals,IMPORT-DEAL-442154D0F312,50,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_039',COMPANY039,False,
Deals,IMPORT-DEAL-442154D0F312,50,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-442154D0F312 due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-DAFA99E47EDF,51,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_136',COMPANY136,False,
Deals,IMPORT-DEAL-DAFA99E47EDF,51,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-DAFA99E47EDF due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-28A9AF47EC38,53,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_190',COMPANY190,False,
Deals,IMPORT-DEAL-28A9AF47EC38,53,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-28A9AF47EC38 due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-28A9AF47EC38,53,missing_deal_value,info,deal_value,Deal value is missing,nan,True,Provide estimated deal value
Deals,IMPORT-DEAL-28A9AF47EC38,53,missing_probability,info,probability,Closure probability is missing (not imputed),nan,True,Provide win probability
Deals,IMPORT-DEAL-38A181EA5FB9,54,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_186',COMPANY186,False,
Deals,IMPORT-DEAL-38A181EA5FB9,54,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-38A181EA5FB9 due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-38A181EA5FB9,54,missing_deal_value,info,deal_value,Deal value is missing,nan,True,Provide estimated deal value
Deals,IMPORT-DEAL-38A181EA5FB9,54,missing_probability,info,probability,Closure probability is missing (not imputed),nan,True,Provide win probability
Deals,IMPORT-DEAL-80B80CB32D11,55,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_101',COMPANY101,False,
Deals,IMPORT-DEAL-80B80CB32D11,55,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-80B80CB32D11 due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-80B80CB32D11,55,missing_probability,info,probability,Closure probability is missing (not imputed),nan,True,Provide win probability
Deals,IMPORT-DEAL-CBE0DF2278AF,56,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_172',COMPANY172,False,
Deals,IMPORT-DEAL-CBE0DF2278AF,56,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-CBE0DF2278AF due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-CBE0DF2278AF,56,missing_deal_value,info,deal_value,Deal value is missing,nan,True,Provide estimated deal value
Deals,IMPORT-DEAL-CBE0DF2278AF,56,missing_probability,info,probability,Closure probability is missing (not imputed),nan,True,Provide win probability
Deals,IMPORT-DEAL-8E12F5831F23,57,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_172',COMPANY172,False,
Deals,IMPORT-DEAL-8E12F5831F23,57,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-8E12F5831F23 due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-8E12F5831F23,57,missing_deal_value,info,deal_value,Deal value is missing,nan,True,Provide estimated deal value
Deals,IMPORT-DEAL-8E12F5831F23,57,missing_probability,info,probability,Closure probability is missing (not imputed),nan,True,Provide win probability
Deals,IMPORT-DEAL-395EAAA00BFA,58,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_118',COMPANY118,False,
Deals,IMPORT-DEAL-395EAAA00BFA,58,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-395EAAA00BFA due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-395EAAA00BFA,58,missing_deal_value,info,deal_value,Deal value is missing,nan,True,Provide estimated deal value
Deals,IMPORT-DEAL-395EAAA00BFA,58,missing_probability,info,probability,Closure probability is missing (not imputed),nan,True,Provide win probability
Deals,IMPORT-DEAL-F2122BA8DC97,59,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_148',COMPANY148,False,
Deals,IMPORT-DEAL-F2122BA8DC97,59,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-F2122BA8DC97 due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-F2122BA8DC97,59,missing_probability,info,probability,Closure probability is missing (not imputed),nan,True,Provide win probability
Deals,IMPORT-DEAL-2E9BF0BC7001,60,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_070',COMPANY070,False,
Deals,IMPORT-DEAL-2E9BF0BC7001,60,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-2E9BF0BC7001 due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-2E9BF0BC7001,60,missing_probability,info,probability,Closure probability is missing (not imputed),nan,True,Provide win probability
Deals,IMPORT-DEAL-EEEEB4C93A15,61,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_146',COMPANY146,False,
Deals,IMPORT-DEAL-EEEEB4C93A15,61,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-EEEEB4C93A15 due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-EEEEB4C93A15,61,missing_deal_value,info,deal_value,Deal value is missing,nan,True,Provide estimated deal value
Deals,IMPORT-DEAL-EEEEB4C93A15,61,missing_probability,info,probability,Closure probability is missing (not imputed),nan,True,Provide win probability
Deals,IMPORT-DEAL-46517047A7D0,62,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_014',COMPANY014,False,
Deals,IMPORT-DEAL-46517047A7D0,62,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-46517047A7D0 due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-46517047A7D0,62,missing_deal_value,info,deal_value,Deal value is missing,nan,True,Provide estimated deal value
Deals,IMPORT-DEAL-46517047A7D0,62,missing_probability,info,probability,Closure probability is missing (not imputed),nan,True,Provide win probability
Deals,IMPORT-DEAL-800762B5BDEA,63,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_168',COMPANY168,False,
Deals,IMPORT-DEAL-800762B5BDEA,63,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-800762B5BDEA due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-800762B5BDEA,63,missing_probability,info,probability,Closure probability is missing (not imputed),nan,True,Provide win probability
Deals,IMPORT-DEAL-993A80D2AD9C,64,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_186',COMPANY186,False,
Deals,IMPORT-DEAL-993A80D2AD9C,64,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-993A80D2AD9C due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-993A80D2AD9C,64,missing_deal_value,info,deal_value,Deal value is missing,nan,True,Provide estimated deal value
Deals,IMPORT-DEAL-993A80D2AD9C,64,missing_probability,info,probability,Closure probability is missing (not imputed),nan,True,Provide win probability
Deals,IMPORT-DEAL-8DF8EA70CDA9,65,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_179',COMPANY179,False,
Deals,IMPORT-DEAL-8DF8EA70CDA9,65,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-8DF8EA70CDA9 due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-8DF8EA70CDA9,65,missing_deal_value,info,deal_value,Deal value is missing,nan,True,Provide estimated deal value
Deals,IMPORT-DEAL-8DF8EA70CDA9,65,missing_probability,info,probability,Closure probability is missing (not imputed),nan,True,Provide win probability
Deals,IMPORT-DEAL-7CA8F7C6ED3F,66,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_078',COMPANY078,False,
Deals,IMPORT-DEAL-7CA8F7C6ED3F,66,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-7CA8F7C6ED3F due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-7CA8F7C6ED3F,66,missing_deal_value,info,deal_value,Deal value is missing,nan,True,Provide estimated deal value
Deals,IMPORT-DEAL-7CA8F7C6ED3F,66,missing_probability,info,probability,Closure probability is missing (not imputed),nan,True,Provide win probability
Deals,IMPORT-DEAL-23B659CCC453,67,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_058',COMPANY058,False,
Deals,IMPORT-DEAL-23B659CCC453,67,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-23B659CCC453 due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-23B659CCC453,67,missing_probability,info,probability,Closure probability is missing (not imputed),nan,True,Provide win probability
Deals,IMPORT-DEAL-4FC3C25D64F6,68,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_143',COMPANY143,False,
Deals,IMPORT-DEAL-4FC3C25D64F6,68,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-4FC3C25D64F6 due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-4FC3C25D64F6,68,missing_probability,info,probability,Closure probability is missing (not imputed),nan,True,Provide win probability
Deals,IMPORT-DEAL-A09D1BCBDEB4,69,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_071',COMPANY071,False,
Deals,IMPORT-DEAL-A09D1BCBDEB4,69,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-A09D1BCBDEB4 due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-A09D1BCBDEB4,69,missing_probability,info,probability,Closure probability is missing (not imputed),nan,True,Provide win probability
Deals,IMPORT-DEAL-446D10571E62,70,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_063',COMPANY063,False,
Deals,IMPORT-DEAL-446D10571E62,70,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-446D10571E62 due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-446D10571E62,70,missing_probability,info,probability,Closure probability is missing (not imputed),nan,True,Provide win probability
Deals,IMPORT-DEAL-85C467E15721,71,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_045',COMPANY045,False,
